crewtype,region,gacc_pl,national_pl,drawndown,mobile,staffing
Crew 2IA,AICC,3,2,0,0,0
Crew 2IA,AICC,3,3,0,0,0
Crew 2IA,AICC,3,4,0,0,0
Crew 2IA,AICC,3,5,0,0,0
Crew 2IA,AICC,4,1,0,0,0
Crew 2IA,AICC,4,2,0,0,0
Crew 2IA,AICC,4,3,0,0,0
Crew 2IA,AICC,4,4,0,0,0
Crew 2IA,AICC,4,5,0,0,0
Crew 2IA,AICC,5,1,0,0,0
Crew 2IA,AICC,5,2,0,0,0
Crew 2IA,AICC,5,3,0,0,0
Crew 2IA,AICC,5,4,0,0,0
Crew 2IA,AICC,5,5,0,0,0
Crew 2IA,NWCC,1,1,15,0,15
Crew 2IA,NWCC,1,2,15,0,15
Crew 2IA,NWCC,1,3,15,0,15
Crew 2IA,NWCC,1,4,15,0,15
Crew 2IA,NWCC,1,5,15,0,15
Crew 2IA,NWCC,2,1,15,0,15
Crew 2IA,NWCC,2,2,15,0,15
Crew 2IA,NWCC,2,3,4,11,15
Crew 2IA,NWCC,2,4,14,1,15
Crew 2IA,NWCC,2,5,15,0,15
Crew 2IA,NWCC,3,1,15,0,15
Crew 2IA,NWCC,3,2,15,0,15
Crew 2IA,NWCC,3,3,15,0,15
Crew 2IA,NWCC,3,4,13,2,15
Crew 2IA,NWCC,3,5,13,2,15
Crew 2IA,NWCC,4,1,15,0,15
Crew 2IA,NWCC,4,2,15,0,15
Crew 2IA,NWCC,4,3,15,0,15
Crew 2IA,NWCC,4,4,15,0,15
Crew 2IA,NWCC,4,5,14,1,15
Crew 2IA,NWCC,5,1,15,0,15
Crew 2IA,NWCC,5,2,15,0,15
Crew 2IA,NWCC,5,3,15,0,15
Crew 2IA,NWCC,5,4,15,0,15
Crew 2IA,NWCC,5,5,15,0,15
Crew 2IA,ONCC,1,1,10,0,10
Crew 2IA,ONCC,1,2,10,0,10
Crew 2IA,ONCC,1,3,10,0,10
Crew 2IA,ONCC,1,4,10,0,10
Crew 2IA,ONCC,1,5,10,0,10
Crew 2IA,ONCC,2,1,9,1,10
Crew 2IA,ONCC,2,2,10,0,10
Crew 2IA,ONCC,2,3,7,3,10
Crew 2IA,ONCC,2,4,10,0,10
Crew 2IA,ONCC,2,5,10,0,10
Crew 2IA,ONCC,3,1,10,0,10
Crew 2IA,ONCC,3,2,10,0,10
Crew 2IA,ONCC,3,3,10,0,10
Crew 2IA,ONCC,3,4,9,1,10
Crew 2IA,ONCC,3,5,10,0,10
Crew 2IA,ONCC,4,1,10,0,10
Crew 2IA,ONCC,4,2,10,0,10
Crew 2IA,ONCC,4,3,10,0,10
Crew 2IA,ONCC,4,4,9,1,10
Crew 2IA,ONCC,4,5,9,1,10
Crew 2IA,ONCC,5,1,10,0,10
Crew 2IA,ONCC,5,2,10,0,10
Crew 2IA,ONCC,5,3,10,0,10
Crew 2IA,ONCC,5,4,10,0,10
Crew 2IA,ONCC,5,5,9,1,10
Crew 2IA,OSCC,1,1,9,0,9
Crew 2IA,OSCC,1,2,9,0,9
Crew 2IA,OSCC,1,3,9,0,9
Crew 2IA,OSCC,1,4,9,0,9
Crew 2IA,OSCC,1,5,9,0,9
Crew 2IA,OSCC,2,1,9,0,9
Crew 2IA,OSCC,2,2,9,0,9
Crew 2IA,OSCC,2,3,8,1,9
Crew 2IA,OSCC,2,4,9,0,9
Crew 2IA,OSCC,2,5,9,0,9
Crew 2IA,OSCC,3,1,9,0,9
Crew 2IA,OSCC,3,2,9,0,9
Crew 2IA,OSCC,3,3,6,3,9
Crew 2IA,OSCC,3,4,8,1,9
Crew 2IA,OSCC,3,5,8,1,9
Crew 2IA,OSCC,4,1,9,0,9
Crew 2IA,OSCC,4,2,9,0,9
Crew 2IA,OSCC,4,3,9,0,9
Crew 2IA,OSCC,4,4,8,1,9
Crew 2IA,OSCC,4,5,9,0,9
Crew 2IA,OSCC,5,1,9,0,9
Crew 2IA,OSCC,5,2,9,0,9
Crew 2IA,OSCC,5,3,9,0,9
Crew 2IA,OSCC,5,4,9,0,9
Crew 2IA,OSCC,5,5,8,1,9
Crew 2IA,NRCC,1,1,5,0,5
Crew 2IA,NRCC,1,2,5,0,5
Crew 2IA,NRCC,1,3,3,2,5
