crewtype,region,gacc_pl,national_pl,drawndown,mobile,mobile_rate,staffing
Crew 1,EACC,3,1,1,0,0,1
Crew 1,EACC,3,2,1,0,0,1
Crew 1,EACC,3,3,1,0,0,1
Crew 1,EACC,3,4,1,0,0,1
Crew 1,EACC,3,5,1,0,0,1
Crew 1,EACC,4,1,1,0,0,1
Crew 1,EACC,4,2,1,0,0,1
Crew 1,EACC,4,3,1,0,0,1
Crew 1,EACC,4,4,1,0,0,1
Crew 1,EACC,4,5,1,0,0,1
Crew 1,EACC,5,1,1,0,0,1
Crew 1,EACC,5,2,1,0,0,1
Crew 1,EACC,5,3,1,0,0,1
Crew 1,EACC,5,4,1,0,0,1
Crew 1,EACC,5,5,1,0,0,1
Crew 1,SACC,1,1,1,1,50,2
Crew 1,SACC,1,2,1,1,50,2
Crew 1,SACC,1,3,1,1,50,2
Crew 1,SACC,1,4,1,1,50,2
Crew 1,SACC,1,5,1,1,50,2
Crew 1,SACC,2,1,1,1,50,2
Crew 1,SACC,2,2,1,1,50,2
Crew 1,SACC,2,3,1,1,50,2
Crew 1,SACC,2,4,2,0,0,2
Crew 1,SACC,2,5,1,1,50,2
Crew 1,SACC,3,1,2,0,0,2
Crew 1,SACC,3,2,2,0,0,2
Crew 1,SACC,3,3,2,0,0,2
Crew 1,SACC,3,4,2,0,0,2
Crew 1,SACC,3,5,2,0,0,2
Crew 1,SACC,4,1,2,0,0,2
Crew 1,SACC,4,2,2,0,0,2
Crew 1,SACC,4,3,2,0,0,2
Crew 1,SACC,4,4,2,0,0,2
Crew 1,SACC,4,5,2,0,0,2
Crew 1,SACC,5,1,2,0,0,2
Crew 1,SACC,5,2,2,0,0,2
Crew 1,SACC,5,3,2,0,0,2
Crew 1,SACC,5,4,2,0,0,2
Crew 1,SACC,5,5,2,0,0,2
Crew 2IA,AICC,1,1,1,0,0,1
Crew 2IA,AICC,1,2,1,0,0,1
Crew 2IA,AICC,1,3,1,0,0,1
Crew 2IA,AICC,1,4,1,0,0,1
Crew 2IA,AICC,1,5,1,0,0,1
Crew 2IA,AICC,2,1,1,0,0,1
Crew 2IA,AICC,2,2,1,0,0,1
Crew 2IA,AICC,2,3,1,0,0,1
Crew 2IA,AICC,2,4,1,0,0,1
Crew 2IA,AICC,2,5,1,0,0,1
Crew 2IA,AICC,3,1,1,0,0,1
Crew 2IA,AICC,3,2,1,0,0,1
Crew 2IA,AICC,3,3,1,0,0,1
Crew 2IA,AICC,3,4,1,0,0,1
Crew 2IA,AICC,3,5,1,0,0,1
Crew 2IA,AICC,4,1,1,0,0,1
Crew 2IA,AICC,4,2,1,0,0,1
Crew 2IA,AICC,4,3,1,0,0,1
Crew 2IA,AICC,4,4,1,0,0,1
Crew 2IA,AICC,4,5,1,0,0,1
Crew 2IA,AICC,5,1,1,0,0,1
Crew 2IA,AICC,5,2,1,0,0,1
Crew 2IA,AICC,5,3,1,0,0,1
Crew 2IA,AICC,5,4,1,0,0,1
Crew 2IA,AICC,5,5,1,0,0,1
Crew 2IA,NWCC,1,1,8,7,46,15
