Crew_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,1.5,2.333333333,0,2.5,1.333333333,0
SACC,0,0,0,0,0,0,0,0,0,36
Module_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,3.166666667,38.666666667,0,0,0,0,0,2.833333333,0,0
ONCC,5.5,2.833333333,16.166666667,0,5.333333333,3.666666667,2.833333333,0,0,0
OSCC,0,0,0,3.833333333,0,0,0,0,0,0
NRCC,0,2.666666667,0,0,21.166666667,1.5,2.833333333,0,0,0
GBCC,6.166666667,2.833333333,5.833333333,0,14.166666667,81,14.833333333,4,9,0.333333333
SWCC,0,0,0,0,0,0,0,0,0,0
RMCC,2.833333333,7.333333333,2.833333333,0,0,6.5,15.666666667,59.166666667,0,0
EACC,0,6.333333333,0,0,1,0,2.333333333,2.333333333,3.5,0
SACC,0,0,0,0,0,0,0,0,0,0
Module_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,3,86.5,1,0,0,3.333333333,11,8.166666667,0,3.333333333
ONCC,2,0.333333333,71.833333333,13.333333333,9.833333333,11.5,8.5,4.666666667,0,0
OSCC,0,5.166666667,10,143.5,7.5,2.5,1,1.666666667,0,0
NRCC,0,0,0,0,35.333333333,3.5,7.166666667,0,1,0
GBCC,1.5,3.5,1.833333333,4.5,0.166666667,154.166666667,3.333333333,6.333333333,0,1.666666667
SWCC,0,2.666666667,2.5,0.166666667,0,1.166666667,37,0,0,0
RMCC,6.833333333,4.666666667,0,2.833333333,16,2.5,7,56.333333333,0,5.166666667
EACC,0,0,0,0,4.5,0,0,3.5,2.5,0
SACC,0,0,0,0,0,0,0,0,0,0
Water_1,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,0,0,0,0,0,0,0,0,0
ONCC,0,0,6.666666667,0,0,0,0,0,0,0
OSCC,0,0,0,0,0,0,0,0,0,0
NRCC,0,0,0,0,0,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,0,0,0,3.833333333,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,1.5,0
SACC,0,0,0,0,0,0,0,0,0,0
Water_2,AICC,NWCC,ONCC,OSCC,NRCC,GBCC,SWCC,RMCC,EACC,SACC
AICC,0,0,0,0,0,0,0,0,0,0
NWCC,0,5.5,0,0,0,0,0,0,0,0
ONCC,0,2.5,248.333333333,49.5,0,5.833333333,0.666666667,0,0,0
OSCC,0,2,65.5,458.666666667,0,7.333333333,32.666666667,2.833333333,0,5.333333333
NRCC,0,0,0,0,2.5,0,0,0,0,0
GBCC,0,0,0,0,0,0,0,0,0,0
SWCC,0,0,0,2.5,0,0,16.833333333,0,0,0
RMCC,0,0,0,0,0,0,0,0,0,0
EACC,0,0,0,0,0,0,0,0,0.166666667,0
SACC,0,0,0,0,0,0,0,0,0,0
